timestamp,open,high,low,close,volume,bid,ask,body_size,body_percent,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,macd,macd_signal,macd_hist,rsi_14,slowk,slowd,atr,bb_upper,bb_middle,bb_lower,pattern_doji,pattern_hammer,pattern_hanging_man,pattern_engulfing,pattern_evening_star,pattern_morning_star,pattern_shooting_star,pattern_inverted_hammer,pattern_harami,pattern_three_outside,pattern_three_inside,pattern_dark_cloud_cover,pattern_piercing,pattern_spinning_top,pattern_marubozu,bullish_pattern,bearish_pattern,pattern_signal
2025-05-07 19:16:12.066709,1.131015,1.131015,1.131015,1.131015,0,1.13101,1.13102,0.0,0.0,1.1309929999999997,1.1310007203466188,1.1309919999999998,1.1309986914187362,1.1310009999999997,1.1310058832758754,1.1310698000000001,1.1310668382564244,,,-1.625921076731096e-05,-2.2660184564295602e-05,6.4009737969846415e-06,50.467514307132724,58.33333333333337,36.049382716028674,2.103697996696559e-05,1.1310566416941197,1.1310009999999997,1.1309453583058797,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:12.179622,1.131015,1.131015,1.131015,1.131015,0,1.13101,1.13102,0.0,0.0,1.1309989999999999,1.1310054802310792,1.1309969999999998,1.1310016566153296,1.1310029999999998,1.1310067515353157,1.1310658,1.1310648053836234,,,-1.380275377593776e-05,-2.0888698406624035e-05,7.085944630686275e-06,50.467514307132724,91.6666666666667,60.802469135793366,1.9534338540753763e-05,1.1310576259822576,1.1310029999999998,1.130948374017742,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:12.326862,1.131015,1.131015,1.131015,1.131015,0,1.13101,1.13102,0.0,0.0,1.131005,1.1310086534873862,1.1310029999999998,1.1310040826852696,1.1310049999999998,1.131007537103381,1.1310636,1.1310628522313244,,,-1.1720882870713822e-05,-1.9055135299441992e-05,7.33425242872817e-06,50.46751430713271,100.00000000000004,83.33333333333337,1.8139028644985635e-05,1.1310582916275829,1.1310049999999998,1.1309517083724168,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:13.900706,1.131045,1.131045,1.131045,1.131045,0,1.13099,1.1311,0.0,0.0,1.1310190000000002,1.1310207689915908,1.1310109999999998,1.1310115221970387,1.1310059999999997,1.1310111049982972,1.1310595,1.1310621521438216,,,-7.56305372417998e-06,-1.675671898438959e-05,9.19366526020961e-06,56.057933253954204,100.00000000000004,97.22222222222227,1.89862408846277e-05,1.1310614616815726,1.1310059999999997,1.1309505383184268,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:16.657558,1.131035,1.131035,1.131035,1.131035,0,1.13097,1.1311,0.0,0.0,1.1310250000000002,1.1310255126610604,1.131009,1.1310157908884861,1.1310064999999998,1.1310133807127452,1.1310565,1.1310610873538678,,,-5.01702742727872e-06,-1.4408780672967416e-05,9.391753245688696e-06,53.87517154245259,88.88888888880668,96.29629629626892,1.83443665357304e-05,1.1310628116202468,1.1310064999999998,1.1309501883797528,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:18.076024,1.131085,1.131085,1.131085,1.131085,0,1.13103,1.13114,0.0,0.0,1.131039,1.1310453417740403,1.131016,1.1310283743633067,1.1310094999999998,1.1310202015972457,1.1310544999999999,1.1310620251046966,,,1.0235006107084388e-06,-1.1322324416232245e-05,1.2345825026940684e-05,61.86971981450068,88.88888888880668,92.5925925925378,2.0605483211741335e-05,1.131075066755133,1.1310094999999998,1.1309439332448665,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:18.366314,1.131075,1.131075,1.131075,1.131075,0,1.13102,1.13113,0.0,0.0,1.1310509999999998,1.1310552278493602,1.131025,1.1310368517517964,1.1310114999999996,1.1310254204927461,1.1310525,1.1310625339241203,,,4.946723425547361e-06,-8.068514847876323e-06,1.3015238273423685e-05,59.643159393310995,84.12698412696234,87.30158730152522,1.9847948696605776e-05,1.131082288420687,1.1310114999999996,1.1309407115793122,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:18.527432,1.131085,1.131085,1.131085,1.131085,0,1.13108,1.13109,0.0,0.0,1.1310649999999998,1.1310651518995734,1.1310350000000002,1.1310456059787424,1.1310144999999996,1.1310310947315323,1.1310499,1.1310634149467038,,,8.761821375324885e-06,-4.702447603236082e-06,1.3464268978560967e-05,61.14888056116423,95.23809523815568,89.41798941797488,1.9144523789694183e-05,1.1310920822170933,1.1310144999999996,1.1309369177829058,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:20.065045,1.131135,1.131135,1.131135,1.131135,0,1.13113,1.13114,0.0,0.0,1.1310829999999996,1.1310884345997156,1.1310510000000003,1.1310618594371529,1.1310199999999995,1.1310409904713863,1.1310479,1.1310662222036958,,,1.563961240291789e-05,-6.340356020052867e-07,1.6273648004923177e-05,67.6483576459253,95.23809523815568,91.53439153442456,2.1348486376152135e-05,1.1311137016628163,1.1310199999999995,1.1309262983371826,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:23.010060,1.131135,1.131135,1.131135,1.131135,0,1.13113,1.13114,0.0,0.0,1.1311029999999995,1.1311039563998104,1.1310640000000003,1.131075157721307,1.1310259999999994,1.1310499437598256,1.1310461,1.1310689193721783,,,2.0849965915781254e-05,3.662764701552021e-06,1.7187201214229235e-05,67.6483576459253,100.00000000000004,96.82539682543712,1.9823594492141272e-05,1.1311321885268855,1.1310259999999994,1.1309198114731134,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
